Region,Squadrats Rank,Squadrats Count,Squadratinhos Rank,Squadratinhos Count,Übersquadrat Rank,Übersquadrat Count,Übersquadratinho Rank,Übersquadratinho Count,Yard Rank,Yard Count,Yardinho Rank,Yardinho Count
Earth,#6435,"8,262",#8130,"87,592",#42471,9 × 9,#11712,13 × 13,#51310,158,#22634,453
France,#4861,"2,262",#5161,"23,843",#5908,7 × 7,#1410,13 × 13,#7924,67,#2435,453
United States,#737,"1,707",#721,"19,664",#1463,4 × 4,#678,10 × 10,#1381,30,#714,344
Netherlands,#7520,"1,416",#8277,"15,754",#12300,6 × 6,#1912,12 × 12,#13303,68,#2824,433
Auvergne-Rhône-Alpes,#2769,742,#2495,"9,038",#1343,7 × 7,#356,13 × 13,#1781,66,#590,453
Colorado,#103,688,#91,"8,149",#158,4 × 4,#85,8 × 8,#170,19,#96,157
South Holland,#2012,530,#1858,"7,268",#2423,6 × 6,#299,12 × 12,#2618,68,#409,433
Switzerland,#2257,652,#2234,"6,962",#2016,5 × 5,#1983,6 × 6,#1622,79,#2386,62
Bourgogne-Franche-Comté,#617,772,#694,"6,929",#1725,3 × 3,#913,4 × 4,#5524,2,#6086,7
Belgium,#18176,686,#20592,"6,084",#20905,5 × 5,#22517,4 × 4,#23781,22,#23822,14
Lake Geneva,#353,547,#391,"6,066",#382,5 × 5,#416,6 × 6,#251,79,#686,62
Italy,#5347,516,#5776,"4,792",#19868,2 × 2,#15901,3 × 3,#24328,1,#14943,10
Germany,#16675,538,#18917,"4,385",#33908,2 × 2,#19447,4 × 4,#33629,2,#32121,6
Wallonia,#10519,451,#11907,"3,959",#7843,5 × 5,#15154,3 × 3,#10553,22,#11833,11
New York,#168,289,#133,"3,767",#141,4 × 4,#67,10 × 10,#115,29,#65,344
Ontario,#1351,5,#1230,44,#1377,1 × 1,#1316,2 × 2,,,,
Provence-Alpes-Côte d'Azur,#28536,5,#28182,43,#28683,1 × 1,#22836,3 × 3,,,#22715,3
Cuba,#222,6,#220,38,#182,2 × 2,#224,2 × 2,,,#135,2
Autonomous City of Buenos Aires,#413,4,#432,28,#419,1 × 1,#496,1 × 1,,,,
Cape Verde,#462,4,#448,25,#365,2 × 2,#453,2 × 2,,,,
Poland,#24184,4,#24083,24,#22685,2 × 2,#23943,2 × 2,,,,
West Pomeranian,#8961,4,#8904,24,#7861,2 × 2,#8785,2 × 2,,,,
Bahamas,#130,2,#81,21,#99,1 × 1,#75,2 × 2,,,,
India,#864,3,#837,18,#840,1 × 1,#991,1 × 1,,,,
Karnataka,#174,3,#173,18,#168,1 × 1,#218,1 × 1,,,,
Aosta Valley,#7154,2,#6772,8,#6889,1 × 1,#6798,1 × 1,,,,
Wales,#4139,2,#4137,8,#4117,1 × 1,#4077,2 × 2,,,,
Zurich,#7119,2,#7110,7,#6953,1 × 1,#7148,1 × 1,,,,
Emilia-Romagna,#6733,1,#6409,7,#6515,1 × 1,#6205,2 × 2,,,,
North Carolina,#950,1,#927,5,#932,1 × 1,#895,2 × 2,,,,
